Load address: $AF80 Init address: $BFF8 Play address: $B000
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   162 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 063D (+ 000B) .. .... 260 | EE00 .. ... . |
|   163 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0648 (+ 000B) .. .... 280 | ED00 .. ... . |
|   164 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 063D (- 000B) .. .... 2A0 | EC00 .. ... . |
|   165 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0632 (- 000B) .. .... 2C0 | EB00 .. ... . |
|   166 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0627 (- 000B) .. .... 2E0 | EA00 .. ... . |
|   167 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 061C (- 000B) .. .... 300 | E900 .. ... . |
|   168 | 15ED  ... ..  01 0015 ... | 0938 (C#3 A5) .. .... 200 | 0611 (- 000B) .. .... 320 | .... .. ... . |
|   169 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 061C (+ 000B) .. .... 340 | EF00 .. ... . |
|   170 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0627 (+ 000B) .. .... 360 | EE00 .. ... . |
|   171 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0632 (+ 000B) .. .... 380 | ED00 .. ... . |
|   172 | 0100 (C-0 80) 40 .... ... | 189D (F#4 B6) .. .... 200 | 063D (+ 000B) .. .... 3A0 | EC00 .. ... . |
|   173 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0648 (+ 000B) .. .... 3C0 | EB00 .. ... . |
|   174 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 063D (- 000B) .. .... 3E0 | EA00 .. ... . |
|   175 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0632 (- 000B) .. .... 400 | E900 .. ... . |
|   176 | 0AF7  ... ..  01 00E4 ... | 0938 (C#3 A5) .. .... 200 | 0627 (- 000B) .. .... 420 | .... .. ... . |
|   177 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 061C (- 000B) .. .... 440 | F000 .. ... . |
|   178 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0611 (- 000B) .. .... 460 | .... .. ... . |
|   179 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 061C (+ 000B) .. .... 480 | .... .. ... . |
|   180 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 0627 (+ 000B) .. .... 4A0 | .... .. ... . |
|   181 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0632 (+ 000B) .. .... 4C0 | .... .. ... . |
|   182 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 063D (+ 000B) .. .... 4E0 | .... .. ... . |
|   183 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0648 (+ 000B) .. .... 500 | .... .. ... . |
|   184 | 0200 (B-0 8B) .. .... ... | 1270 (C#4 B1) .. .... 200 | 063D (- 000B) .. .... 520 | .... .. ... . |
